datetime,open,high,low,close,volume
2023-01-02 00:00:00,1.0500,1.0510,1.0490,1.0505,100
2023-01-02 00:15:00,1.0505,1.0520,1.0500,1.0515,120
2023-01-02 00:30:00,1.0515,1.0530,1.0510,1.0525,110
2023-01-02 00:45:00,1.0525,1.0540,1.0520,1.0535,130
2023-01-02 01:00:00,1.0535,1.0550,1.0530,1.0545,140
2023-01-02 01:15:00,1.0545,1.0560,1.0540,1.0555,150
2023-01-02 01:30:00,1.0555,1.0570,1.0550,1.0565,160
2023-01-02 01:45:00,1.0565,1.0580,1.0560,1.0575,170
2023-01-02 02:00:00,1.0575,1.0590,1.0570,1.0585,180
2023-01-02 02:15:00,1.0585,1.0600,1.0580,1.0595,190
2023-01-02 02:30:00,1.0595,1.0610,1.0590,1.0605,200
2023-01-02 02:45:00,1.0605,1.0620,1.0600,1.0615,210
2023-01-02 03:00:00,1.0615,1.0630,1.0610,1.0625,220
2023-01-02 03:15:00,1.0625,1.0640,1.0620,1.0635,230
2023-01-02 03:30:00,1.0635,1.0650,1.0630,1.0645,240
2023-01-02 03:45:00,1.0645,1.0660,1.0640,1.0655,250
2023-01-02 04:00:00,1.0655,1.0670,1.0650,1.0665,260
